name,organ_system,key_gene_or_marker,aliases,potential_causes,cause_established,source
NF1-associated gastrointestinal stromal tumor,Digestive system,NF1,NF1-mutant GIST; Neurofibromatosis type 1-associated GIST,"GIST arising in patients with neurofibromatosis type 1 due to germline NF1 loss; the inherited NF1 syndrome is the established cause, and these tumors are typically multiple and located in the small intestine.",yes,"WHO Classification of Tumours 5th ed, Digestive System"
Pancreatic neuroendocrine tumor,Digestive system,MEN1,PanNET; Islet cell tumor; Nonfunctional pancreatic NET,"Most are sporadic with no established environmental cause, but a substantial minority arise in hereditary syndromes: multiple endocrine neoplasia type 1 (MEN1), von Hippel-Lindau disease, neurofibromatosis type 1, and tuberous sclerosis all predispose to pancreatic neuroendocrine tumors.",yes,
Pancreatoblastoma,Digestive system,CTNNB1,Pancreaticoblastoma; Infantile pancreatic carcinoma,Rare embryonal pancreatic tumor of childhood associated with Beckwith-Wiedemann syndrome and with familial adenomatous polyposis (APC/Wnt pathway alterations); the majority of sporadic cases have no established external cause.,yes,
PDGFRA-mutant gastrointestinal stromal tumor,Digestive system,PDGFRA,PDGFRA GIST,"A molecular subtype of GIST driven by a somatic activating PDGFRA mutation (commonly D842V); it is sporadic with no established external or hereditary cause, and the mutation is a driver rather than an etiologic exposure.",no,"WHO Classification of Tumours 5th ed, Digestive System"
Perianal Paget disease,Digestive system,,Anal Paget disease; Extramammary Paget disease of the anus,"Intraepithelial adenocarcinoma of perianal skin; a substantial proportion is secondary to an underlying anorectal or other visceral adenocarcinoma spreading to the epidermis, while primary cases arising from apocrine gland cells have no established external cause.",yes,"WHO Classification of Tumours 5th ed, Digestive System"
Perihilar cholangiocarcinoma,Digestive system,KRAS,pCCA; Klatskin tumor; Hilar cholangiocarcinoma,"Established risk factors include primary sclerosing cholangitis, chronic biliary inflammation, choledochal cysts and Caroli disease, hepatolithiasis, and in endemic regions liver fluke infection (Opisthorchis viverrini, Clonorchis sinensis); chronic biliary tract inflammation is the unifying mechanism.",yes,"WHO Classification of Tumours 5th ed, Digestive System"
Pseudomyxoma peritonei,Digestive system,KRAS,PMP,"Nearly always caused by rupture of a low-grade appendiceal mucinous neoplasm (less often a mucinous tumor of ovary, colon, or other sites) that seeds the peritoneum with mucin-producing epithelium; the underlying appendiceal neoplasm itself is sporadic with no established external cause.",yes,
Quadruple wild-type gastrointestinal stromal tumor,Digestive system,,Quadruple WT GIST; KIT/PDGFRA/SDH/RAS wild-type GIST,"GIST lacking KIT, PDGFRA, RAS-pathway, and SDH alterations, a heterogeneous molecular group; sporadic with no established external cause or defined predisposing condition, so the etiology is not established.",no,Pantaleo Cancer Med 2015 (PMID 25470732)
SDH-deficient gastrointestinal stromal tumor,Digestive system,SDHB,SDH-deficient GIST; Succinate dehydrogenase-deficient GIST,"Wild-type GIST subtype lacking KIT/PDGFRA mutations, caused by loss of succinate dehydrogenase function; often arises with germline SDHx mutations and occurs in Carney-Stratakis syndrome and (non-germline) Carney triad, making it a hereditary/syndromic tumor.",yes,"WHO Classification of Tumours 5th ed, Digestive System; Boikos JAMA Oncol 2016 (PMID 27011036)"
Serous cystadenocarcinoma of the pancreas,Digestive system,VHL,Pancreatic serous cystadenocarcinoma,"Exceedingly rare malignant counterpart of serous cystadenoma; benign serous cystic neoplasms are linked to von Hippel-Lindau disease, but for the very rare carcinoma there is no established cause, so the etiology is not established.",no,"WHO Classification of Tumours 5th ed, Digestive System"
Signet ring cell carcinoma of the colon and rectum,Digestive system,,Colorectal signet ring cell carcinoma,"A poorly differentiated colorectal adenocarcinoma variant; shares colorectal cancer risk factors (chronic inflammatory bowel disease, and it is enriched in Lynch syndrome and microsatellite-unstable tumors), though many cases are sporadic with the general colorectal risk profile.",yes,"WHO Classification of Tumours 5th ed, Digestive System"
Small intestinal adenocarcinoma,Digestive system,KRAS,Adenocarcinoma of the small intestine; Duodenal adenocarcinoma; Jejunal adenocarcinoma; Ileal adenocarcinoma,"Predisposing conditions are well established: Crohn disease and celiac disease (chronic small bowel inflammation), and hereditary syndromes familial adenomatous polyposis, Lynch syndrome, and Peutz-Jeghers syndrome; most tumors arise from precursor adenomas.",yes,"WHO Classification of Tumours 5th ed, Digestive System; RARECAREnet"
Solid pseudopapillary neoplasm of the pancreas,Digestive system,CTNNB1,SPN; Frantz tumor; Solid pseudopapillary tumor,"Low-grade pancreatic neoplasm overwhelmingly in young women, defined by somatic CTNNB1 (beta-catenin) mutations; despite hypotheses about female sex hormones, there is no established etiologic cause and it is considered idiopathic/sporadic.",no,"WHO Classification of Tumours 5th ed, Digestive System"
Somatostatinoma,Digestive system,SST,Somatostatin-producing neuroendocrine tumor,"Rare somatostatin-secreting neuroendocrine tumor of the pancreas or duodenum; associations exist with neurofibromatosis type 1 (especially duodenal tumors) and multiple endocrine neoplasia type 1, but most pancreatic cases are sporadic with no established external cause.",no,"WHO Classification of Tumours 5th ed, Digestive System; Orphanet"
Squamous cell carcinoma of the stomach,Digestive system,,Gastric squamous cell carcinoma,"Extremely rare primary gastric squamous cell carcinoma; no established cause specific to this entity, and it is not linked to the usual gastric adenocarcinoma drivers, so the etiology is not established.",no,"WHO Classification of Tumours 5th ed, Digestive System"
Type 1 gastric neuroendocrine tumor,Digestive system,CHGA,ECL-cell NET type 1; Type 1 gastric carcinoid,"Caused by autoimmune chronic atrophic gastritis: destruction of oxyntic mucosa raises gastrin, and chronic hypergastrinemia drives enterochromaffin-like cell hyperplasia and neoplasia; strongly linked to pernicious anemia and autoimmune metaplastic atrophic gastritis.",yes,"WHO Classification of Tumours 5th ed, Digestive System"
Type 2 gastric neuroendocrine tumor,Digestive system,MEN1,ECL-cell NET type 2; Type 2 gastric carcinoid,"Caused by hypergastrinemia from a gastrinoma in the setting of Zollinger-Ellison syndrome, almost always within multiple endocrine neoplasia type 1 (MEN1); excess gastrin drives enterochromaffin-like cell proliferation.",yes,"WHO Classification of Tumours 5th ed, Digestive System"
Type 3 gastric neuroendocrine tumor,Digestive system,,Sporadic gastric NET; Type 3 gastric carcinoid,"Sporadic gastrin-independent tumor arising on a background of normal gastric mucosa and normal serum gastrin; no chronic gastritis or hypergastrinemia driver and no established external cause, so the etiology is not established.",no,"WHO Classification of Tumours 5th ed, Digestive System"
Undifferentiated carcinoma of the pancreas with osteoclast-like giant cells,Digestive system,KRAS,Osteoclastic giant cell tumor of the pancreas,"Rare pancreatic carcinoma variant harboring KRAS mutations similar to conventional ductal adenocarcinoma; considered part of the pancreatic ductal carcinoma spectrum but with no established distinct etiologic cause, so the etiology is not established.",no,"WHO Classification of Tumours 5th ed, Digestive System"
VIPoma,Digestive system,VIP,Vasoactive intestinal peptide-secreting tumor; Verner-Morrison syndrome tumor; WDHA syndrome tumor,"Rare vasoactive intestinal peptide secreting pancreatic neuroendocrine tumor; mostly sporadic with no established external cause, though a minority occur in multiple endocrine neoplasia type 1 (MEN1).",no,"WHO Classification of Tumours 5th ed, Digestive System; Orphanet"
Acquired cystic disease-associated renal cell carcinoma,"Genitourinary, gynecologic and gestational",,ACD-associated RCC,"Caused by end-stage renal disease with long-term dialysis and acquired cystic kidney disease, which is the defining predisposing condition; risk rises with dialysis duration.",yes,WHO Classification of Tumours 5th ed Urinary and Male Genital Tumours 2022; WHO 2022 classification of renal neoplasms Cureus
Adenocarcinoma of the rete testis,"Genitourinary, gynecologic and gestational",,rete testis adenocarcinoma,"Cause not established; it is extremely rare and idiopathic, with rete testis adenomatous hyperplasia proposed as a precursor and only unproven associations with hydrocele, chronic inflammation, and chemical exposures.",no,WHO Classification of Tumours 5th ed Urinary and Male Genital Tumours 2022; Pathology Outlines testis and paratestis WHO classification
Adult granulosa cell tumor of the ovary,"Genitourinary, gynecologic and gestational",FOXL2,AGCT; adult-type granulosa cell tumor,"No established external cause; nearly all harbor a somatic FOXL2 C134W mutation, which is a molecular hallmark rather than an etiologic exposure, so the underlying cause is not established.",no,WHO Classification of Tumours 5th ed Female Genital Tumours 2020; Cancer Research UK sex cord stromal ovarian tumours
ALK-rearranged renal cell carcinoma,"Genitourinary, gynecologic and gestational",ALK,ALK-rearranged RCC,"Sporadic renal carcinoma driven by ALK gene fusions; some cases occur with sickle cell trait, but no consistent environmental, infectious, or clearly established hereditary cause is defined.",no,WHO Classification of Tumours 5th ed Urinary and Male Genital Tumours 2022; WHO 2022 classification of renal neoplasms Cureus
Chromophobe renal cell carcinoma,"Genitourinary, gynecologic and gestational",,chromophobe RCC,"Mostly sporadic with no established environmental cause; a fraction arises in Birt-Hogg-Dube syndrome (germline FLCN mutation), which predisposes to chromophobe and hybrid oncocytic tumors.",yes,
Clear cell adenocarcinoma of the cervix,"Genitourinary, gynecologic and gestational",,cervical clear cell carcinoma,"A subset is caused by in utero diethylstilbestrol (DES) exposure, which produced cervicovaginal adenosis; most contemporary cases are HPV-independent and sporadic with no established cause.",yes,WHO Classification of Tumours 5th ed Female Genital Tumours 2020; clear cell adenocarcinoma of the cervix PMC7243845
Clear cell adenocarcinoma of the urethra,"Genitourinary, gynecologic and gestational",,Mullerian-type clear cell adenocarcinoma of the urethra,"Rare urethral adenocarcinoma often thought to arise from urethral diverticulum or nephrogenic adenosis (metaplasia) as a possible precursor; no established environmental, infectious, or hereditary cause.",no,WHO Classification of Tumours 5th ed Urinary and Male Genital Tumours 2022; primary urethral clear-cell adenocarcinoma PMC3936309
Clear cell adenocarcinoma of the vagina,"Genitourinary, gynecologic and gestational",,vaginal clear cell adenocarcinoma; diethylstilbestrol-associated vaginal adenocarcinoma,"Classically caused by in utero exposure to diethylstilbestrol (DES), which produced vaginal adenosis as the precursor; non-DES sporadic cases also occur and have no established cause.",yes,WHO Classification of Tumours 5th ed Female Genital Tumours 2020; Vaginal Adenocarcinoma review PMC12249244
Clear cell sarcoma of the kidney,"Genitourinary, gynecologic and gestational",BCOR,CCSK,"Sporadic pediatric renal tumor with no established environmental, infectious, or hereditary cause; recurrent BCOR internal tandem duplication is a somatic driver, not an etiologic exposure.",no,
Collecting duct carcinoma,"Genitourinary, gynecologic and gestational",,Bellini duct carcinoma,"Aggressive renal carcinoma arising from the collecting ducts of Bellini with no established environmental, infectious, or hereditary cause; it is sporadic and idiopathic.",no,WHO Classification of Tumours 5th ed Urinary and Male Genital Tumours 2022; Pathology Outlines kidney collecting duct carcinoma
Ductal adenocarcinoma of the prostate,"Genitourinary, gynecologic and gestational",,prostatic ductal adenocarcinoma,"A prostatic adenocarcinoma variant arising from prostatic ducts; it shares the risk factors of acinar prostate cancer (age, family history, germline BRCA2 and other DNA repair gene mutations) with no distinct additional external cause.",yes,WHO Classification of Tumours 5th ed Urinary and Male Genital Tumours 2022; WHO 5th edition prostate cancer classification Kench 2022
ELOC-mutated renal cell carcinoma,"Genitourinary, gynecologic and gestational",ELOC,elongin C-mutated renal cell carcinoma; TCEB1-mutated RCC,"Sporadic renal cell carcinoma defined by biallelic somatic ELOC (TCEB1) inactivation; no established environmental, infectious, or hereditary cause, and the somatic mutation is not an etiologic exposure.",no,WHO Classification of Tumours 5th ed Urinary and Male Genital Tumours 2022; WHO 2022 classification of renal neoplasms Cureus
Endometrioid carcinoma of the ovary,"Genitourinary, gynecologic and gestational",CTNNB1,,"Strongly associated with endometriosis as a precursor lesion; a subset arises in Lynch syndrome (mismatch repair gene) carriers, and unopposed estrogen exposure is a contributing factor.",yes,WHO Classification of Tumours 5th ed Female Genital Tumours 2020
Eosinophilic solid and cystic renal cell carcinoma,"Genitourinary, gynecologic and gestational",TSC1,ESC RCC,"Most cases are sporadic with somatic biallelic loss of TSC1 or TSC2, but a subset arises in patients with germline tuberous sclerosis complex, the established predisposing syndrome for these tumors.",yes,WHO Classification of Tumours 5th ed Urinary and Male Genital Tumours 2022; WHO 2022 classification of renal neoplasms Cureus
Epithelioid trophoblastic tumor,"Genitourinary, gynecologic and gestational",p63,ETT,"Arises from chorionic-type intermediate trophoblast of a prior gestation (term pregnancy, abortion, or molar pregnancy), which is the required predisposing event.",yes,WHO Classification of Tumours 5th ed Female Genital Tumours 2020; gestational trophoblastic tumors review Arch Pathol Lab Med
Extramammary Paget disease of the vulva,"Genitourinary, gynecologic and gestational",CK7,vulvar Paget disease,"Usually a primary intraepithelial adnexal (apocrine) neoplasm of unknown cause, though a minority is secondary to an underlying anorectal or urothelial adenocarcinoma; no established external etiologic factor.",no,WHO Classification of Tumours 5th ed Female Genital Tumours 2020; comprehensive management of vulvovaginal cancers PMC12432818
Fumarate hydratase-deficient renal cell carcinoma,"Genitourinary, gynecologic and gestational",FH,FH-deficient RCC; hereditary leiomyomatosis and renal cell carcinoma-associated RCC,Caused by germline fumarate hydratase (FH) mutation defining hereditary leiomyomatosis and renal cell cancer (HLRCC) syndrome; the inherited FH defect is the predisposing cause.,yes,WHO Classification of Tumours 5th ed Urinary and Male Genital Tumours 2022; WHO 2022 classification of renal neoplasms Cureus
Gastric-type adenocarcinoma of the cervix,"Genitourinary, gynecologic and gestational",,HPV-independent gastric-type endocervical adenocarcinoma,"An HPV-independent cervical adenocarcinoma; a subset arises in Peutz-Jeghers syndrome (germline STK11 mutation), and lobular endocervical glandular hyperplasia is a recognized precursor lesion. Most cases are sporadic with somatic STK11 or TP53 alterations.",yes,WHO Classification of Tumours 5th ed Female Genital Tumours 2020; gastric-type adenocarcinoma of the uterine cervix PMC11075765
Gestational choriocarcinoma,"Genitourinary, gynecologic and gestational",hCG,choriocarcinoma,"Arises from trophoblast of an antecedent pregnancy, most often following a complete hydatidiform mole but also after normal pregnancy, abortion, or ectopic pregnancy; a prior molar pregnancy is the principal predisposing event.",yes,WHO Classification of Tumours 5th ed Female Genital Tumours 2020; gestational trophoblastic tumors review Arch Pathol Lab Med
High-grade endometrial stromal sarcoma,"Genitourinary, gynecologic and gestational",YWHAE,HG-ESS,"Sporadic uterine sarcoma defined by fusions such as YWHAE::NUTM2 or BCOR alterations; no established external, infectious, or hereditary etiologic factor.",no,WHO Classification of Tumours 5th ed Female Genital Tumours 2020; molecular classification of endometrial stromal sarcomas PMC7563240
High-grade serous carcinoma of the fallopian tube,"Genitourinary, gynecologic and gestational",TP53,tubal high-grade serous carcinoma,"Arises from serous tubal intraepithelial carcinoma (STIC) in the fallopian tube fimbria as the precursor lesion, with a strong hereditary component from germline BRCA1 and BRCA2 mutations (and other homologous recombination genes).",yes,WHO Classification of Tumours 5th ed Female Genital Tumours 2020; Pathology Outlines serous tubal intraepithelial carcinoma
Immature teratoma of the ovary,"Genitourinary, gynecologic and gestational",SALL4,malignant teratoma of the ovary,"Sporadic germ cell tumor of young women with no established environmental, infectious, or hereditary cause.",no,WHO Classification of Tumours 5th ed Female Genital Tumours 2020; Diagnostic Histopathology ovarian germ cell tumours 2020
Invasive hydatidiform mole,"Genitourinary, gynecologic and gestational",hCG,invasive mole; chorioadenoma destruens,A molar pregnancy (typically a complete hydatidiform mole from abnormal androgenetic fertilization) that invades the myometrium; it is by definition a complication of a preceding hydatidiform mole.,yes,WHO Classification of Tumours 5th ed Female Genital Tumours 2020; gestational trophoblastic disease Dis Model Mech 2025
Juvenile granulosa cell tumor of the ovary,"Genitourinary, gynecologic and gestational",AKT1,JGCT; juvenile-type granulosa cell tumor,"Mostly sporadic with no established cause; a small subset is associated with enchondromatosis (Ollier disease and Maffucci syndrome), and some cases carry AKT1 or GNAS alterations that are not etiologic exposures.",no,WHO Classification of Tumours 5th ed Female Genital Tumours 2020; Pathology Outlines ovarian sex cord stromal tumours
Large cell neuroendocrine carcinoma of the cervix,"Genitourinary, gynecologic and gestational",,LCNEC of the cervix,"Caused by high-risk human papillomavirus infection (commonly HPV18 and HPV16), the same infectious etiology as other cervical carcinomas.",yes,WHO Classification of Tumours 5th ed Female Genital Tumours 2020; MD Anderson small and large cell cervical cancer
Low-grade endometrial stromal sarcoma,"Genitourinary, gynecologic and gestational",JAZF1,LG-ESS,"Sporadic uterine mesenchymal tumor driven by recurrent gene fusions (commonly JAZF1::SUZ12); no established environmental, infectious, or hereditary cause, and prior pelvic radiation or tamoxifen are only weakly reported.",no,WHO Classification of Tumours 5th ed Female Genital Tumours 2020; JAZF1/SUZ12 gene fusion in endometrial stromal sarcomas PMC4754953
Low-grade serous carcinoma of the ovary,"Genitourinary, gynecologic and gestational",KRAS,LGSC,"Arises through a stepwise pathway from serous borderline (atypical proliferative) tumors as a precursor lesion; established risk factors overlap with high-grade serous cancer, but no single external cause is defined and germline BRCA involvement is uncommon.",yes,WHO Classification of Tumours 5th ed Female Genital Tumours 2020; Int J Gynecol Cancer rare ovarian tumors update 2024
Mesonephric adenocarcinoma of the cervix,"Genitourinary, gynecologic and gestational",KRAS,cervical mesonephric carcinoma,"Arises from embryonic mesonephric (Wolffian) duct remnants in the cervix as its cell of origin; HPV-independent, with no established environmental, infectious, or hereditary cause.",no,WHO Classification of Tumours 5th ed Female Genital Tumours 2020; histological classification of cervical adenocarcinomas Yasuda 2025
Mesonephric-like adenocarcinoma of the uterine corpus,"Genitourinary, gynecologic and gestational",KRAS,MLA,"Cause not established; thought to arise from Mullerian epithelium showing mesonephric differentiation (or from mesonephric remnants) driven by KRAS and PIK3CA mutations, with no known environmental, infectious, or hereditary etiologic factor.",no,WHO Classification of Tumours 5th ed Female Genital Tumours 2020; mesonephric-like adenocarcinoma of the uterine corpus PMC8625485
Micropapillary urothelial carcinoma,"Genitourinary, gynecologic and gestational",ERBB2,micropapillary variant urothelial carcinoma,"A urothelial carcinoma variant sharing established urothelial risk factors, principally cigarette smoking and occupational aromatic amine exposure.",yes,WHO Classification of Tumours 5th ed Urinary and Male Genital Tumours 2022; histologic variants of urothelial carcinoma Alderson 2020
Mucinous carcinoma of the ovary,"Genitourinary, gynecologic and gestational",KRAS,mucinous adenocarcinoma of the ovary,"Frequently arises through a benign to borderline to carcinoma sequence within mucinous cystadenomas and borderline tumors as precursor lesions; no established external cause, and smoking is a weak reported risk factor.",yes,WHO Classification of Tumours 5th ed Female Genital Tumours 2020; Int J Gynecol Cancer rare ovarian tumors update 2024
Mucinous tubular and spindle cell carcinoma of the kidney,"Genitourinary, gynecologic and gestational",,MTSCC,"Sporadic low-grade renal carcinoma with no established environmental, infectious, or hereditary cause.",no,WHO Classification of Tumours 5th ed Urinary and Male Genital Tumours 2022; mucinous tubular and spindle cell RCC review PMC4573286
Ovarian clear cell carcinoma,"Genitourinary, gynecologic and gestational",ARID1A,clear cell adenocarcinoma of the ovary,"Strongly linked to endometriosis and endometriotic cysts as a precursor lesion, with additional risk from endometriosis-associated inflammation; a minority arise in Lynch syndrome (mismatch repair) carriers.",yes,
Ovarian dysgerminoma,"Genitourinary, gynecologic and gestational",KIT,dysgerminoma of the ovary,"Largely of unknown cause, but incidence is increased in dysgenetic gonads such as gonadal dysgenesis and androgen insensitivity with a Y chromosome (via gonadoblastoma as a precursor); most cases in normal ovaries are idiopathic.",yes,WHO Classification of Tumours 5th ed Female Genital Tumours 2020; Diagnostic Histopathology ovarian germ cell tumours 2020
Ovarian yolk sac tumor,"Genitourinary, gynecologic and gestational",AFP,endodermal sinus tumor of the ovary,"Sporadic malignant germ cell tumor with no established environmental, infectious, or hereditary cause in most cases.",no,WHO Classification of Tumours 5th ed Female Genital Tumours 2020; Pathology Outlines ovary yolk sac tumor
Penile squamous cell carcinoma,"Genitourinary, gynecologic and gestational",TP53,squamous cell carcinoma of the penis,"About half are caused by high-risk human papillomavirus (chiefly HPV16); non-HPV cases are driven by chronic inflammation, phimosis, lichen sclerosus, poor hygiene, and smoking, with lack of circumcision as a risk factor.",yes,WHO Classification of Tumours 5th ed Urinary and Male Genital Tumours 2022; reclassification of penile SCC WHO 2022 PMC12231722
Placental site trophoblastic tumor,"Genitourinary, gynecologic and gestational",hPL,PSTT,"Arises from intermediate (implantation site) trophoblast of a prior gestation, typically months to years after a term pregnancy, non-molar abortion, or (less often) a hydatidiform mole; the antecedent pregnancy is the defining predisposing event.",yes,WHO Classification of Tumours 5th ed Female Genital Tumours 2020; review of placental site trophoblastic tumors PMC6893905
Plasmacytoid urothelial carcinoma,"Genitourinary, gynecologic and gestational",CDH1,plasmacytoid variant urothelial carcinoma,"An aggressive urothelial carcinoma variant defined by CDH1 (E-cadherin) loss; it shares urothelial carcinogen exposure, chiefly cigarette smoking, as the recognized risk factor.",yes,WHO Classification of Tumours 5th ed Urinary and Male Genital Tumours 2022; histologic variants of urothelial carcinoma Alderson 2020
Renal medullary carcinoma,"Genitourinary, gynecologic and gestational",SMARCB1,SMARCB1-deficient renal medullary carcinoma,"Occurs almost exclusively in individuals with sickle cell trait or other sickle hemoglobinopathies (rarely sickle cell disease or hemoglobin SC), the defining predisposing condition.",yes,
Rhabdoid tumor of the kidney,"Genitourinary, gynecologic and gestational",SMARCB1,malignant rhabdoid tumor of the kidney,"Caused by biallelic inactivation of SMARCB1 (INI1), often with a germline mutation defining rhabdoid tumor predisposition syndrome; the inherited SWI/SNF defect is the recognized predisposing cause in a subset.",yes,WHO Classification of Tumours 5th ed Urinary and Male Genital Tumours 2022; Wilms Tumor and Other Childhood Kidney Tumors NCI PDQ NBK65953
Sarcomatoid urothelial carcinoma,"Genitourinary, gynecologic and gestational",,sarcomatoid variant urothelial carcinoma,"A high-grade urothelial carcinoma variant sharing standard bladder cancer risk factors (cigarette smoking, occupational aromatic amine exposure); prior cyclophosphamide or pelvic radiation are additional recognized risks.",yes,WHO Classification of Tumours 5th ed Urinary and Male Genital Tumours 2022; recent advances in classification of bladder cancer Guo 2022
Sertoli-Leydig cell tumor of the ovary,"Genitourinary, gynecologic and gestational",DICER1,androblastoma; arrhenoblastoma,"A substantial subset arises in the DICER1 tumor predisposition syndrome (germline DICER1 mutation), the main established predisposing factor; sporadic cases have no other established cause.",yes,WHO Classification of Tumours 5th ed Female Genital Tumours 2020; PMID sex cord stromal DICER1 FOXL2
Small cell carcinoma of the ovary hypercalcemic type,"Genitourinary, gynecologic and gestational",SMARCA4,SCCOHT; malignant rhabdoid tumor of the ovary,"Driven by germline or somatic inactivating mutations of SMARCA4 (BRG1), and germline carriers define a familial predisposition (rhabdoid tumor predisposition syndrome type 2); the underlying etiology beyond this SWI/SNF defect is otherwise unknown, with no established environmental, infectious, or hormonal cause.",yes,
Small cell neuroendocrine carcinoma of the cervix,"Genitourinary, gynecologic and gestational",,SCNEC of the cervix; small cell cervical carcinoma,"Caused by high-risk human papillomavirus, predominantly HPV18 (and HPV16), the same infectious etiology as other cervical carcinomas.",yes,WHO Classification of Tumours 5th ed Female Genital Tumours 2020; small cell neuroendocrine carcinoma of the cervix UpToDate
Small cell neuroendocrine carcinoma of the prostate,"Genitourinary, gynecologic and gestational",RB1,small cell prostate carcinoma; neuroendocrine prostate carcinoma,"Most cases arise as a treatment-emergent lineage transformation of prostatic adenocarcinoma under prolonged androgen deprivation and androgen receptor targeted therapy, the principal predisposing exposure; rare de novo cases have no established cause.",yes,WHO Classification of Tumours 5th ed Urinary and Male Genital Tumours 2022; neuroendocrine differentiation in prostate neoplasms PMC12695988
Small cell neuroendocrine carcinoma of the urinary bladder,"Genitourinary, gynecologic and gestational",,small cell carcinoma of the bladder,"Strongly associated with cigarette smoking, the same major carcinogen as urothelial carcinoma, and often coexists with urothelial carcinoma; it likely shares urothelial carcinogen exposures.",yes,WHO Classification of Tumours 5th ed Urinary and Male Genital Tumours 2022; recent advances in classification of bladder cancer Guo 2022
Spermatocytic tumor,"Genitourinary, gynecologic and gestational",,spermatocytic seminoma,"A germ cell tumor of older men arising from spermatogonia with no established environmental, infectious, or hereditary cause; it is not associated with cryptorchidism or germ cell neoplasia in situ.",no,WHO Classification of Tumours 5th ed Urinary and Male Genital Tumours 2022; WHO 5th edition classification of testicular tumours PMC9544657
Succinate dehydrogenase-deficient renal cell carcinoma,"Genitourinary, gynecologic and gestational",SDHB,SDH-deficient RCC,"Caused by germline mutations in a succinate dehydrogenase subunit gene (most often SDHB), an inherited predisposition that also causes paraganglioma and pheochromocytoma; biallelic SDH loss defines the tumor.",yes,WHO Classification of Tumours 5th ed Urinary and Male Genital Tumours 2022; SDH-deficient RCC characterization PMID 25034258
Testicular Leydig cell tumor,"Genitourinary, gynecologic and gestational",,Leydig cell tumour of the testis,"Mostly sporadic sex cord-stromal tumor with no established external cause; rare cases occur in Klinefelter syndrome, and recurrent somatic activating mutations are not etiologic exposures.",no,WHO Classification of Tumours 5th ed Urinary and Male Genital Tumours 2022; WHO 5th edition classification of testicular tumours PMC9544657
Testicular Sertoli cell tumor,"Genitourinary, gynecologic and gestational",CTNNB1,Sertoli cell tumour of the testis,"Mostly sporadic, but distinct subtypes arise in tumor predisposition syndromes: large cell calcifying Sertoli cell tumor in Carney complex (PRKAR1A) and intratubular large cell hyalinizing type in Peutz-Jeghers syndrome (STK11). Ordinary cases have no established cause.",yes,WHO Classification of Tumours 5th ed Urinary and Male Genital Tumours 2022; WHO 5th edition classification of testicular tumours PMC9544657
TFE3-rearranged renal cell carcinoma,"Genitourinary, gynecologic and gestational",TFE3,Xp11 translocation renal cell carcinoma; MiT family translocation RCC,"Some cases are associated with prior childhood cytotoxic chemotherapy exposure, a recognized predisposing factor; otherwise the tumor is sporadic and driven by TFE3 gene fusions that are not themselves an etiologic exposure.",yes,WHO Classification of Tumours 5th ed Urinary and Male Genital Tumours 2022; WHO 2022 classification of renal neoplasms Cureus
TFEB-altered renal cell carcinoma,"Genitourinary, gynecologic and gestational",TFEB,TFEB-rearranged renal cell carcinoma; t(6;11) renal cell carcinoma,"Sporadic MiT family translocation renal cell carcinoma driven by TFEB fusion or amplification; no established environmental, infectious, or hereditary etiologic factor.",no,WHO Classification of Tumours 5th ed Urinary and Male Genital Tumours 2022; WHO 2022 classification of renal neoplasms Cureus
Tubulocystic renal cell carcinoma,"Genitourinary, gynecologic and gestational",,tubulocystic RCC,"Sporadic low-grade renal carcinoma with no established environmental, infectious, or hereditary cause.",no,WHO Classification of Tumours 5th ed Urinary and Male Genital Tumours 2022; WHO 2022 classification of renal neoplasms Cureus
Urachal adenocarcinoma,"Genitourinary, gynecologic and gestational",,urachal carcinoma,"Arises from persistent urachal remnants (the embryonic allantoic duct) at the bladder dome, with glandular or intestinal metaplasia as a precursor; no established environmental, infectious, or hereditary cause.",no,WHO Classification of Tumours 5th ed Urinary and Male Genital Tumours 2022; recent advances in classification of bladder cancer Guo 2022
Urethral carcinoma,"Genitourinary, gynecologic and gestational",,primary carcinoma of the urethra,"A subset is caused by high-risk human papillomavirus (chiefly HPV16), while other cases relate to chronic inflammation, urethral stricture, recurrent infection, and (in bulbar or proximal tumors) prior irritation; smoking is a contributing factor.",yes,WHO Classification of Tumours 5th ed Urinary and Male Genital Tumours 2022; clear cell adenocarcinoma of urethra PMC10789969
Uterine adenosarcoma,"Genitourinary, gynecologic and gestational",,Mullerian adenosarcoma,"Mostly sporadic with no established cause; recognized risk factors include prior pelvic radiation, tamoxifen use, and long-term unopposed estrogen exposure.",yes,WHO Classification of Tumours 5th ed Female Genital Tumours 2020; Uterine Sarcoma Treatment NCI PDQ
Uterine carcinosarcoma,"Genitourinary, gynecologic and gestational",TP53,Malignant mixed Mullerian tumor; MMMT,"Risk factors mirror endometrial carcinoma (obesity, unopposed estrogen exposure, nulliparity) and prior pelvic radiation and tamoxifen use are established predisposing exposures; it is regarded as a metaplastic (dedifferentiated) high-grade endometrial carcinoma.",yes,
Uterine clear cell carcinoma,"Genitourinary, gynecologic and gestational",,endometrial clear cell carcinoma,"A high-grade endometrial carcinoma of largely unknown cause; associations include prior pelvic radiation and tamoxifen use, but most cases are sporadic with no established external etiology.",no,WHO Classification of Tumours 5th ed Female Genital Tumours 2020; endometrial carcinoma changes to classification WHO 2020
